,A7,B5,B8,C4,E3,E4
Mediomastus fragilis,32,64,64,52,27,80
Microphthalmus aberrans,16,4,4,20,0,20
Moelleria costulata,0,0,0,0,0,0
Musculus,0,0,0,0,4,0
Mya sp.,0,0,16,0,0,0
Mya juv,0,0,12,4,4,0
Mya arenaria,0,0,4,4,2,57
Mya truncata,0,0,0,0,0,0
Myriochele oculata,0,0,0,0,0,0
Mytilidae,0,0,8,0,0,0
Mytilidae juv,0,0,0,4,0,12
Mytilus edulis,0,0,0,0,0,0
Möttuldýr TUNICATA EÐA FLEIRI?,0,0,0,0,0,0
Naticidae,0,0,0,0,0,4
Naineris quadricuspida,0,0,0,0,0,0
Nemertea=nemertina,8,0,4,8,12,12
Nematoda,0,20,0,136,0,8
Nephtyidae sp,0,0,0,0,0,0
Nepthys,0,1,0,2,6,2
Nereimyra punctata,0,0,0,0,0,0
Nereis pelagica,0,0,0,0,0,0
Notomastus latericeus ,0,4,0,0,0,0
Nicolea zostericola,0,0,0,0,4,0
Nuculana tenuis,0,0,0,0,4,0
Nudibranch,0,0,0,0,8,0
Oligochaeta sp.,0,0,0,28,28,104
Onoba aculeus,4,0,0,0,0,0
Onoba striata,0,0,0,0,1,0
Ophelina acuminata,13,49,33,192,4,88
Ophiuroidea sp,0,0,0,0,0,0
Opistobranchia sp.,0,0,4,0,0,0
Ophryotrocha cosmetandra,0,0,0,0,0,0
Orbiniidae sp,0,0,0,0,0,0
Ostracoda,0,0,0,0,0,0
Parougia nigridentata,0,0,0,0,0,0
Pectinaria granulata,0,#VALUE!,0,0,5,0
Pectinaria koreni,0,8,0,10,0,0
Pherusa plumosa,0,0,0,0,4,0
Philomedes globosus,0,0,0,0,0,0
Pholoe sp,0,0,0,0,0,4
Phyllodoce maculata,0,0,0,0,0,50
Phyllodocidae sp,0,0,0,0,0,0
Plerugonium spinosissum,0,0,0,0,0,4
Polycirrinae sp.,0,0,0,0,0,0
Polydora sp.,4,8,20,13,70,1314
Polynoida ungv.,0,0,0,0,0,0
Polyplacophora sp,0,0,0,0,0,0
Porifera sp,0,0,0,0,0,0
Praxillella m.,0,0,0,0,0,0
Praxillella praetermissa,31,34,27,0,38,45
Priapulus camelus ER HANN NOKKUÐ TIL?,0,0,0,0,0,0
Priapulus candatus,4,4,4,12,0,4
Protomedeia fasciata,0,0,0,4,4,112
Pycnogonida sp,0,4,0,0,0,0
Pygospio elegans,0,0,0,0,0,12
Rhodine gracilior,0,0,0,0,0,0
Sabellida sp,0,0,0,0,4,0
Scalibregma inflatum,176,15,261,36,28,12
Scoloplos armiger,48,78,40,85,59,100
Serripes groenlandica,0,4,0,0,0,0
Sipunculidea/Sipunculidae,0,8,0,0,0,0
Sphaerosyllis erinaceus,0,0,0,0,8,#VALUE!
Sphaerosyllis ungv.,0,0,0,0,0,0
Spionidae sp.,8,5,0,12,16,81
Sternapsis/Sternaspis? scutata,0,0,0,0,0,0
Syllidae sp,0,0,0,0,0,0
Syllis cornuta,0,0,0,4,0,0
Thyasira flexuosa,4,20,0,0,8,8
Terebellidae sp,0,0,0,0,5,0
Terebellidae juv,0,4,0,0,0,0
Terebellides benedi,0,12,0,8,0,0
Terribellides kozloffi,0,4,0,4,0,0
Terribellides stroemi,1,0,0,0,1,0
Tubificidae,0,0,0,0,4,0
Turbellaria,0,0,0,0,0,4
Typosyllis armillaris,0,0,0,0,0,0
Verruca stroemia,0,#VALUE!,0,0,0,0
