,A7,B5,B8,C4,E3,E4
Exogone ver(r)ugera,0,0,0,0,0,0
Flabelligera affinis,0,0,0,0,1,0
Galathowenia oculata,0,0,0,1,0,1
Gammarus sp.,0,0,0,0,0,0
Gastropoda ungv,4,0,8,0,8,0
Gattyana cirrosa,0,0,0,0,0,0
Gibbula tumida,0,0,0,0,0,0
Glycera capitata,0,0,0,0,1,0
Harmothoe sp,0,0,0,4,49,12
Harpacticoida sp.,16,24,44,24,4,4
Henricia sanguinolenta,0,0,0,0,0,0
Heteromastus filiformis,0,0,0,0,0,0
Hiatella arctica,0,0,0,0,18,0
Hyas araneus,0,0,0,0,0,0
Hydrozoa,32,8,48,0,0,0
Lacuna vincta,0,0,0,0,0,0
Lanassa venusta,0,20,0,0,2,0
Lepeta caeca,0,0,0,0,0,0
Lepidonotus squamatus,0,0,0,0,0,0
Levinsenia gracilis,0,0,0,0,0,0
Macoma calcarea,44,132,60,146,88,68
Malacoceros fuliginosus,0,0,0,0,0,0
Maldanidae sp,0,0,0,0,0,2
Margarites groenlandicus,0,0,0,0,0,0
Mediomastus filiformis kemur líka Heteromastus filiformis,0,0,0,0,0,0
Mediomastus fragilis,36,76,61,65,16,89
Microphthalmus aberrans,12,20,0,25,20,12
Moelleria costulata,0,0,0,0,0,0
Musculus,0,0,0,0,1,0
Mya sp.,0,0,8,0,0,0
Mya juv,0,4,0,4,0,0
Mya arenaria,16,8,8,16,16,12
Mya truncata,0,0,0,0,0,0
Myriochele oculata,0,0,0,0,0,0
Mytilidae,0,28,0,16,0,0
Mytilidae juv,16,24,32,32,12,0
Mytilus edulis,0,0,0,0,4,0
Möttuldýr TUNICATA EÐA FLEIRI?,0,0,0,0,16,0
Naticidae,0,0,0,0,0,0
Naineris quadricuspida,0,0,0,0,0,0
Nemertea=nemertina,68,52,93,4,16,4
Nematoda,12,16,4,80,8,12
Nephtyidae sp,0,0,0,0,0,0
Nepthys,1,0,0,1,5,2
Nereimyra punctata,0,0,0,0,4,0
Nereis pelagica,0,0,0,0,0,0
Notomastus latericeus ,0,0,0,0,0,0
Nicolea zostericola,0,0,0,0,0,0
Nuculana tenuis,0,0,0,0,0,0
Nudibranch,0,0,0,0,0,0
Oligochaeta sp.,0,0,0,24,48,48
Onoba aculeus,0,0,0,0,0,0
Onoba striata,0,0,0,0,0,0
Ophelina acuminata,8,118,17,123,108,50
Ophiuroidea sp,0,0,0,0,0,0
Opistobranchia sp.,0,0,0,0,0,0
Ophryotrocha cosmetandra,0,0,0,0,0,0
Orbiniidae sp,0,0,0,0,0,0
Ostracoda,0,0,0,0,0,0
Parougia nigridentata,0,0,0,0,0,4
Pectinaria granulata,0,0,0,0,4,0
Pectinaria koreni,4,2,2,4,4,0
Pherusa plumosa,0,0,0,0,0,0
Philomedes globosus,0,0,0,0,0,0
Pholoe sp,0,0,0,4,0,8
Phyllodoce maculata,0,0,0,0,16,0
Phyllodocidae sp,0,0,0,0,0,0
Plerugonium spinosissum,0,0,0,0,0,0
Polycirrinae sp.,0,0,0,0,0,0
Polydora sp.,22,23,17,8,33,112
Polynoida ungv.,0,0,0,0,0,0
Polyplacophora sp,0,0,0,0,0,0
Porifera sp,0,0,0,0,0,0
Praxillella m.,0,0,0,0,0,0
Praxillella praetermissa,0,1,0,0,0,5
Priapulus camelus ER HANN NOKKUÐ TIL?,0,0,0,0,0,0
Priapulus candatus,0,4,0,0,0,0
Protomedeia fasciata,0,0,0,0,28,4
Pycnogonida sp,0,0,0,0,0,0
Pygospio elegans,0,0,0,0,0,0
Rhodine gracilior,0,0,0,0,0,0
Sabellida sp,0,0,0,0,0,0
Scalibregma inflatum,5,2,0,1,0,1
Scoloplos armiger,4,30,21,100,24,0
Serripes groenlandica,0,0,0,0,4,0
Sipunculida,0,0,0,4,0,1
Sphaerosyllis erinaceus,4,0,0,0,16,0
Sphaerosyllis ungv.,0,0,0,0,0,0
Spionidae sp.,5,36,16,89,87,53
Sternapsis/Sternaspis? scutata,0,0,0,0,0,0
Syllidae sp,0,0,0,0,4,0
Syllis cornuta,0,0,0,4,0,0
Thyasira flexuosa,0,0,0,0,0,0
Terebellidae sp,0,0,4,0,4,8
Terebellidae juv,0,8,0,0,0,0
Tubificoides benedict,0,0,0,12,0,0
Tubificoides kozloffi,0,0,0,12,0,4
Terribellides stroemi,0,0,0,0,0,0
Tubificidae,0,0,0,0,0,0
Turbellaria,0,0,0,0,0,0
Typosyllis armillaris,0,0,0,0,0,0
Verruca stroemia,0,0,0,0,0,0
